site,init_size,init_batches,batch_size,max_eval,failure_limit,success_limit
banfora,2,1,2,2000,2,4
barsalogho,2,1,2,2000,2,4
baskuy,2,1,2,2000,2,4
batie,2,1,2,2000,2,4
bittou,2,1,2,2000,2,4
bogande,2,1,2,2000,2,4
bogodogo,2,1,2,2000,2,4
boromo,2,1,2,2000,2,4
boulmiougou,2,1,2,2000,2,4
boulsa,2,1,2,2000,2,4
bousse,2,1,2,2000,2,4
boussouma,2,1,2,2000,2,4
dafra,2,1,2,2000,2,4
dande,2,1,2,2000,2,4
dano,2,1,2,2000,2,4
dedougou,2,1,2,2000,2,4
diapaga,2,1,2,2000,2,4
diebougou,2,1,2,2000,2,4
djibo,2,1,2,2000,2,4
do,2,1,2,2000,2,4
dori,2,1,2,2000,2,4
fada n'gourma,2,1,2,2000,2,4
gaoua,2,1,2,2000,2,4
garango,2,1,2,2000,2,4
gayeri,2,1,2,2000,2,4
gorom-gorom,2,1,2,2000,2,4
gourcy,2,1,2,2000,2,4
hounde,2,1,2,2000,2,4
kampti,2,1,2,2000,2,4
karangasso - vigue,2,1,2,2000,2,4
kaya,2,1,2,2000,2,4
kombissiri,2,1,2,2000,2,4
kongoussi,2,1,2,2000,2,4
koudougou,2,1,2,2000,2,4
koupela,2,1,2,2000,2,4
lena,2,1,2,2000,2,4
leo,2,1,2,2000,2,4
manga,2,1,2,2000,2,4
mangodara,2,1,2,2000,2,4
mani,2,1,2,2000,2,4
nanoro,2,1,2,2000,2,4
n'dorola,2,1,2,2000,2,4
nongr-massoum,2,1,2,2000,2,4
nouna,2,1,2,2000,2,4
orodara,2,1,2,2000,2,4
ouahigouya,2,1,2,2000,2,4
ouargaye,2,1,2,2000,2,4
pama,2,1,2,2000,2,4
po,2,1,2,2000,2,4
pouytenga,2,1,2,2000,2,4
reo,2,1,2,2000,2,4
sabou,2,1,2,2000,2,4
sapone,2,1,2,2000,2,4
sapouy,2,1,2,2000,2,4
sebba,2,1,2,2000,2,4
seguenega,2,1,2,2000,2,4
sig-nonghin,2,1,2,2000,2,4
sindou,2,1,2,2000,2,4
solenzo,2,1,2,2000,2,4
tenado,2,1,2,2000,2,4
tenkodogo,2,1,2,2000,2,4
thiou,2,1,2,2000,2,4
titao,2,1,2,2000,2,4
toma,2,1,2,2000,2,4
tougan,2,1,2,2000,2,4
tougouri,2,1,2,2000,2,4
yako,2,1,2,2000,2,4
zabre,2,1,2,2000,2,4
ziniare,2,1,2,2000,2,4
zorgho,2,1,2,2000,2,4
